KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,sample_time_continuous_caster,count
0,1,0,0,1,1,-1,3:00:14,1
0,1,0,0,1,1,1,3:44:08,13
0,1,0,0,1,1,1,5:09:41,13
0,1,0,0,1,1,1,0:26:26,13
0,1,0,0,1,1,1,5:54:21,13
0,1,0,0,1,1,1,6:43:11,13
0,1,0,0,1,1,1,12:49:17,13
0,1,0,0,1,1,1,13:39:39,13
0,1,0,0,1,1,1,2:48:20,13
0,1,0,0,1,1,1,1:57:56,13
0,1,0,0,1,1,1,12:05:46,13
0,1,0,0,1,1,1,11:18:54,13
0,1,0,0,1,1,1,4:21:10,13
0,1,0,0,1,1,1,7:31:38,13
0,1,0,0,1,1,1,18:57:50,13
0,1,0,0,1,1,1,17:27:01,13
0,1,0,0,1,1,1,9:01:20,13
0,1,0,0,1,1,1,8:12:51,13
0,1,0,0,1,1,1,15:56:45,13
0,1,0,0,1,1,1,15:07:31,13
0,1,0,0,1,1,1,14:23:32,13
0,1,0,0,1,1,1,19:27:02,13
0,1,0,0,1,1,1,17:13:35,13
0,1,0,0,1,1,1,18:38:33,13
0,1,0,0,1,1,1,20:20:46,13
0,1,0,0,1,1,1,17:55:36,13
0,1,0,0,1,1,1,16:28:38,13
0,1,0,0,1,1,1,21:46:39,13
0,1,0,0,1,1,1,21:08:12,13
0,1,0,0,1,1,1,22:26:55,13
0,1,0,0,1,1,1,1:27:20,13
0,1,0,0,1,1,1,6:02:22,13
0,1,0,0,1,1,1,0:46:19,13
0,1,0,0,1,1,1,4:32:48,13
0,1,0,0,1,1,1,14:41:17,13
0,1,0,0,1,1,1,13:59:43,13
0,1,0,0,1,1,1,15:25:52,13
0,1,0,0,1,1,1,22:00:59,13
0,1,0,0,1,1,1,19:47:17,13
0,1,0,0,1,1,1,13:06:30,13
0,1,0,0,1,1,1,12:24:04,13
0,1,0,0,1,1,1,21:16:14,13
0,1,0,0,1,1,1,22:55:20,13
0,1,0,0,1,1,1,1:49:14,13
0,1,0,0,1,1,1,16:09:36,13
0,1,0,0,1,1,1,20:29:51,13
0,1,0,0,1,1,1,1:05:08,13
0,1,0,0,1,1,1,18:24:04,13
0,1,0,0,1,1,1,2:32:25,13
0,1,0,0,1,1,1,16:51:38,13
0,1,0,0,1,1,1,17:37:28,13
0,1,0,0,1,1,1,0:16:43,13
0,1,0,0,1,1,1,19:12:03,13
0,1,0,0,1,1,1,19:45:53,12
0,1,0,0,1,1,1,19:02:44,12
0,1,0,0,1,1,1,21:27:54,12
0,1,0,0,1,1,1,20:35:44,12
0,1,0,0,1,1,1,23:47:22,12
0,1,0,0,1,1,1,22:10:09,12
0,1,0,0,1,1,1,18:11:55,12
0,1,0,0,1,1,1,22:54:52,12
0,1,0,0,1,1,1,18:21:26,12
0,1,0,0,1,1,1,0:01:08,12
0,1,0,0,1,1,1,23:17:14,12
0,1,0,0,1,1,1,5:17:28,12
0,1,0,0,1,1,1,20:48:58,11
0,1,0,0,1,1,1,19:14:12,11
0,1,0,0,1,1,1,22:28:15,11
0,1,0,0,1,1,1,23:07:27,11
0,1,0,0,1,1,1,23:54:14,11
0,1,0,0,1,1,1,20:02:37,11
0,1,0,0,1,1,1,4:02:24,10
0,1,0,0,1,1,1,7:26:07,10
0,1,0,0,1,1,1,8:14:21,10
0,1,0,0,1,1,1,3:17:09,9
0,1,0,0,1,1,1,2:32:04,9
0,1,0,0,1,1,1,0:57:19,9
0,1,0,0,1,1,1,2:07:53,7
0,1,0,0,1,1,1,22:06:36,7
0,1,0,0,1,1,1,13:02:48,7
0,1,0,0,1,1,1,14:32:50,7
0,1,0,0,1,1,1,22:42:30,7
0,1,0,0,1,1,1,22:09:07,7
0,1,0,0,1,1,1,21:19:14,7
0,1,0,0,1,1,1,19:47:31,7
0,1,0,0,1,1,1,18:20:07,7
0,1,0,0,1,1,1,17:31:54,7
0,1,0,0,1,1,1,19:09:37,7
0,1,0,0,1,1,1,16:02:12,7
0,1,0,0,1,1,1,11:36:52,7
0,1,0,0,1,1,1,3:37:36,7
0,1,0,0,1,1,1,13:48:16,7
0,1,0,0,1,1,1,15:16:42,7
0,1,0,0,1,1,1,5:06:40,7
0,1,0,0,1,1,1,12:20:08,7
0,1,0,0,1,1,1,7:19:30,7
0,1,0,0,1,1,1,16:47:45,7
0,1,0,0,1,1,1,2:56:03,7
0,1,0,0,1,1,1,10:53:55,7
0,1,0,0,1,1,1,10:01:51,7
0,1,0,0,1,1,1,11:22:32,7
0,1,0,0,1,1,1,0:32:54,7
0,1,0,0,1,1,1,5:57:56,7
0,1,0,0,1,1,1,3:49:09,7
0,1,0,0,1,1,1,15:12:12,7
0,1,0,0,1,1,1,21:02:37,7
0,1,0,0,1,1,1,21:46:35,7
0,1,0,0,1,1,1,23:14:36,7
0,1,0,0,1,1,1,0:02:53,7
0,1,0,0,1,1,1,20:17:43,7
0,1,0,0,1,1,1,16:39:54,7
0,1,0,0,1,1,1,17:22:27,7
0,1,0,0,1,1,1,2:22:23,7
0,1,0,0,1,1,1,19:36:53,7
0,1,0,0,1,1,1,18:07:06,7
