IsolationForest,LOF,OneClassSVM,sample_time_continuous_caster,count
1,1,1,17:31:06,10
1,1,1,16:54:32,10
1,1,1,14:13:20,10
1,1,1,13:32:52,10
1,1,1,12:21:49,10
1,1,1,13:11:42,10
1,1,1,11:00:06,10
1,1,1,10:21:25,10
1,1,1,2:29:36,10
1,1,1,3:08:43,10
1,1,1,5:05:44,10
1,1,1,0:57:46,9
1,1,1,0:25:22,9
1,1,1,23:39:20,9
1,1,1,5:32:20,9
1,1,1,15:06:54,9
1,1,1,5:03:29,9
1,1,1,4:14:47,9
1,1,1,3:01:13,9
1,1,1,2:54:23,9
1,1,1,1:28:10,9
1,1,1,0:50:10,9
1,1,1,0:11:48,9
1,1,1,23:32:35,9
1,1,1,22:46:38,9
1,1,1,21:28:57,9
1,1,1,20:03:02,9
1,1,1,19:27:09,9
1,1,1,18:44:56,9
1,1,1,17:56:06,9
1,1,1,17:19:05,9
1,1,1,16:31:13,9
1,1,1,15:46:00,9
1,1,1,14:24:01,9
1,1,1,13:44:56,9
1,1,1,13:09:26,9
1,1,1,12:23:41,9
1,1,1,11:50:32,9
1,1,1,22:08:58,9
1,1,1,20:47:04,9
1,1,1,6:06:41,9
1,1,1,12:56:12,9
1,1,1,9:57:20,9
1,1,1,12:57:44,9
1,1,1,18:42:32,9
1,1,1,19:29:40,9
1,1,1,19:34:09,9
1,1,1,9:08:59,9
1,1,1,20:06:06,9
1,1,1,21:45:14,9
1,1,1,1:36:57,9
1,1,1,12:52:59,9
1,1,1,4:15:36,9
1,1,1,15:07:24,9
1,1,1,13:44:06,9
1,1,1,22:16:39,9
1,1,1,23:02:07,9
1,1,1,20:54:03,9
1,1,1,5:19:37,9
1,1,1,4:19:32,9
1,1,1,10:37:43,9
1,1,1,14:20:50,9
1,1,1,4:17:08,9
1,1,1,4:34:09,9
1,1,1,7:31:09,9
1,1,1,6:42:58,9
1,1,1,1:09:55,9
1,1,1,3:17:09,9
1,1,1,0:10:57,9
1,1,1,2:32:04,9
1,1,1,23:11:52,9
1,1,1,0:57:19,9
1,1,1,3:33:11,9
1,1,1,0:04:49,9
1,1,1,23:17:30,9
1,1,1,4:13:20,9
1,1,1,22:31:37,9
1,1,1,21:46:01,9
1,1,1,4:54:41,9
1,1,1,7:36:35,9
1,1,1,7:04:13,9
1,1,1,6:21:37,9
1,1,1,5:36:43,9
1,1,1,2:53:11,9
1,1,1,2:18:08,9
1,1,1,1:41:14,9
1,1,1,0:51:02,9
1,1,1,11:07:57,9
1,1,1,12:00:09,9
1,1,1,2:01:30,9
1,1,1,21:37:04,9
1,1,1,21:40:39,9
1,1,1,22:18:41,9
1,1,1,22:59:13,9
1,1,1,23:35:32,9
1,1,1,0:38:27,9
1,1,1,1:23:35,9
1,1,1,15:47:40,9
1,1,1,15:06:40,9
1,1,1,14:21:40,9
1,1,1,13:38:16,9
1,1,1,12:51:55,9
1,1,1,11:27:23,9
1,1,1,10:40:44,9
1,1,1,9:55:33,9
1,1,1,9:17:33,9
1,1,1,8:34:01,9
1,1,1,7:49:53,9
1,1,1,6:24:24,9
1,1,1,5:43:08,9
1,1,1,5:02:03,9
1,1,1,4:17:59,9
1,1,1,3:36:07,9
1,1,1,2:47:18,9
1,1,1,12:12:41,9
1,1,1,20:15:02,9
1,1,1,18:57:18,9
1,1,1,18:06:01,9
1,1,1,17:22:42,9
1,1,1,20:41:11,9
1,1,1,19:59:47,9
1,1,1,19:26:00,9
1,1,1,22:11:55,9
1,1,1,21:27:41,9
1,1,1,23:11:39,9
1,1,1,23:38:56,9
1,1,1,13:43:34,9
1,1,1,10:57:27,9
1,1,1,17:01:01,9
1,1,1,16:36:58,9
1,1,1,15:48:05,9
1,1,1,15:32:16,9
1,1,1,14:26:44,9
1,1,1,13:10:28,9
1,1,1,12:23:34,9
1,1,1,11:41:57,9
1,1,1,10:16:30,9
1,1,1,9:26:45,9
1,1,1,10:51:55,9
1,1,1,7:55:21,9
1,1,1,7:12:38,9
1,1,1,6:27:15,9
1,1,1,5:39:40,9
1,1,1,5:02:28,9
1,1,1,4:16:56,9
1,1,1,3:30:32,9
1,1,1,2:49:30,9
1,1,1,2:00:56,9
1,1,1,1:14:10,9
1,1,1,0:34:53,9
1,1,1,9:23:54,9
1,1,1,8:43:43,9
1,1,1,8:03:30,9
1,1,1,7:30:15,9
1,1,1,1:05:00,9
1,1,1,8:22:40,9
1,1,1,5:24:21,9
1,1,1,5:02:54,9
1,1,1,3:56:21,9
1,1,1,3:14:18,9
1,1,1,2:32:32,9
1,1,1,1:49:43,9
1,1,1,0:21:06,9
1,1,1,20:48:48,9
1,1,1,15:11:15,9
1,1,1,11:56:45,9
1,1,1,11:07:50,9
1,1,1,10:17:27,9
1,1,1,9:39:59,9
1,1,1,8:53:28,9
1,1,1,8:16:33,9
1,1,1,6:52:35,9
1,1,1,5:22:56,9
1,1,1,4:48:13,9
1,1,1,3:59:12,9
1,1,1,3:19:27,9
1,1,1,2:34:42,9
1,1,1,1:51:18,9
1,1,1,1:10:41,9
1,1,1,6:14:01,9
1,1,1,15:53:27,9
1,1,1,17:19:03,9
1,1,1,17:58:53,9
1,1,1,21:25:11,9
1,1,1,20:00:07,9
1,1,1,19:31:51,9
1,1,1,18:48:59,9
1,1,1,22:47:22,9
1,1,1,22:06:57,9
1,1,1,16:33:27,9
1,1,1,6:00:49,9
1,1,1,5:17:26,9
1,1,1,4:41:04,9
1,1,1,4:00:28,9
1,1,1,3:20:09,9
1,1,1,2:38:57,9
1,1,1,1:57:16,9
1,1,1,1:17:27,9
1,1,1,0:37:28,9
1,1,1,6:40:30,9
1,1,1,7:21:42,9
1,1,1,8:40:52,9
1,1,1,15:23:07,9
1,1,1,12:31:18,9
1,1,1,9:26:18,9
1,1,1,1:40:44,8
1,1,1,23:09:49,8
1,1,1,19:33:56,8
1,1,1,22:23:26,8
1,1,1,14:04:06,8
1,1,1,12:43:12,8
1,1,1,13:26:08,8
1,1,1,18:54:12,8
1,1,1,14:45:02,8
1,1,1,15:38:27,8
1,1,1,18:13:40,8
1,1,1,16:41:43,8
1,1,1,16:04:51,8
1,1,1,17:30:59,8
1,1,1,11:22:09,8
1,1,1,12:03:15,8
1,1,1,10:40:07,8
1,1,1,10:07:01,8
1,1,1,20:51:36,8
1,1,1,21:44:02,8
1,1,1,22:26:42,8
1,1,1,23:07:25,8
1,1,1,23:33:55,8
1,1,1,0:36:12,8
1,1,1,0:40:43,8
1,1,1,1:20:44,8
1,1,1,2:01:55,8
1,1,1,11:02:16,8
1,1,1,10:21:06,8
1,1,1,18:30:26,8
1,1,1,3:53:03,8
1,1,1,11:53:34,8
1,1,1,5:08:27,8
1,1,1,7:24:39,8
1,1,1,9:00:38,8
1,1,1,18:02:58,8
1,1,1,17:00:07,8
1,1,1,6:38:23,8
1,1,1,14:05:13,8
1,1,1,15:30:49,8
1,1,1,4:25:08,8
1,1,1,5:54:40,8
1,1,1,14:49:55,8
1,1,1,16:21:03,8
1,1,1,13:18:35,8
1,1,1,2:54:28,8
1,1,1,8:14:58,8
1,1,1,9:43:39,8
1,1,1,6:33:06,8
