DBSCAN,impurity_index_fca_bin,count
1462,High,5
1463,High,10
1464,Low,5
1465,High,5
1466,High,20
1467,High,5
1468,High,10
1469,High,35
1470,High,5
1471,High,20
1471,Medium,10
1472,Medium,5
1473,Medium,5
1474,High,5
1475,Medium,5
1476,High,5
1477,High,5
1478,Medium,5
1479,Medium,5
1480,High,5
1481,High,5
1481,Medium,5
1482,High,5
1483,Medium,5
1484,Medium,5
1485,Low,5
1485,Medium,5
1486,Medium,5
1487,High,5
1488,Medium,5
1489,Low,5
1490,Low,5
1491,High,5
1492,High,10
1493,High,5
1494,High,5
1495,Medium,5
1496,Medium,20
1497,Low,5
1498,High,5
1499,Medium,5
1500,Medium,5
1501,Medium,5
