feature,importance
cat__timestamp_2020-07-31 23:07:30,3.5398264847447415e-05
cat__timestamp_2020-08-20 06:41:32,3.53908508558746e-05
cat__timestamp_2020-05-19 22:19:27,3.526772584802891e-05
cat__timestamp_2020-05-09 14:30:34,3.523941346639043e-05
cat__timestamp_2020-05-08 18:24:52,3.5051498293496404e-05
cat__timestamp_2020-01-08 15:42:12,3.495346234075769e-05
cat__timestamp_2020-07-31 06:00:49,3.495063609503033e-05
cat__timestamp_2020-05-09 05:50:22,3.4790750055135904e-05
cat__timestamp_2020-05-30 16:35:19,3.469636551317284e-05
cat__timestamp_2020-08-09 20:18:26,3.466557931439809e-05
cat__timestamp_2020-08-15 22:35:37,3.42030904251859e-05
cat__timestamp_2020-01-10 10:07:01,3.4182818593552785e-05
cat__timestamp_2020-02-08 15:52:14,3.414638987358642e-05
cat__timestamp_2020-08-15 12:06:12,3.412500751594134e-05
cat__timestamp_2020-07-29 07:38:22,3.399882065419088e-05
cat__timestamp_2020-08-15 21:55:31,3.391775006316e-05
cat__timestamp_2020-05-19 10:10:14,3.376657411372069e-05
cat__timestamp_2020-05-20 21:32:57,3.336400308709552e-05
cat__timestamp_2020-07-24 13:11:42,3.327218024732208e-05
cat__timestamp_2020-08-09 00:07:26,3.326867892827208e-05
cat__timestamp_2020-04-09 16:04:18,3.3248648955167576e-05
cat__timestamp_2020-06-09 10:01:25,3.3244485040134754e-05
cat__timestamp_2020-03-05 18:02:58,3.313127943960562e-05
cat__timestamp_2020-01-05 22:02:33,3.280615258505427e-05
cat__timestamp_2020-08-20 07:50:20,3.262232824017318e-05
cat__timestamp_2020-08-26 07:05:30,3.255783858133842e-05
cat__timestamp_2020-01-05 04:06:14,3.217455574615636e-05
cat__timestamp_2020-08-19 11:45:09,3.2089655012338155e-05
cat__timestamp_2020-08-25 13:10:42,3.189999291345526e-05
cat__timestamp_2020-07-29 07:04:24,3.185293792920635e-05
cat__timestamp_2020-05-19 19:04:17,3.180204620673165e-05
cat__timestamp_2020-01-05 17:20:36,3.173559801383311e-05
cat__timestamp_2020-06-09 07:41:32,3.157869208775621e-05
cat__timestamp_2020-04-09 06:08:03,3.14085843597833e-05
cat__timestamp_2020-08-17 00:05:37,3.139928382055387e-05
cat__timestamp_2020-07-25 10:00:44,3.134523198057118e-05
cat__timestamp_2020-08-18 17:20:19,3.13038490867524e-05
cat__timestamp_2020-07-25 17:25:30,3.126169611043153e-05
cat__timestamp_2020-07-29 10:51:08,3.117716770314763e-05
cat__timestamp_2020-07-31 18:20:30,3.1065424046076425e-05
cat__timestamp_2020-05-09 07:08:16,3.096624926223676e-05
cat__timestamp_2020-05-25 01:46:27,3.084204123349792e-05
cat__timestamp_2020-03-08 10:22:47,3.064390390791313e-05
cat__timestamp_2020-07-09 02:53:11,3.062900397584975e-05
cat__timestamp_2020-05-25 00:01:08,3.062814008449982e-05
cat__timestamp_2020-03-05 16:21:03,3.054780785451327e-05
cat__timestamp_2020-08-09 10:13:02,3.033574736784964e-05
cat__timestamp_2020-01-08 08:34:28,3.0326265647123355e-05
cat__timestamp_2020-05-08 13:25:34,2.9974915534072543e-05
cat__timestamp_2020-07-09 06:21:37,2.980675647034579e-05
cat__timestamp_2020-01-08 20:45:08,2.9787182969536143e-05
cat__timestamp_2020-05-31 12:57:44,2.9674886449220933e-05
cat__timestamp_2020-01-08 05:32:20,2.964923834280129e-05
cat__timestamp_2020-07-31 07:21:42,2.9579386917392378e-05
cat__timestamp_2020-05-09 04:30:23,2.9325611563080635e-05
cat__timestamp_2020-05-09 18:54:54,2.924479621990624e-05
cat__timestamp_2020-04-09 13:30:55,2.9215233590403968e-05
cat__timestamp_2020-05-24 06:03:23,2.89075871307603e-05
cat__timestamp_2020-06-09 08:32:48,2.88963433492193e-05
cat__timestamp_2020-08-19 13:05:35,2.8895385258796402e-05
cat__timestamp_2020-04-08 06:20:04,2.88197978374546e-05
cat__timestamp_2020-07-28 00:39:51,2.8786548342151845e-05
cat__timestamp_2020-05-24 22:51:17,2.876336205701045e-05
cat__timestamp_2020-01-08 07:06:02,2.875682801787228e-05
cat__timestamp_2020-01-05 22:47:04,2.8736738053258954e-05
