PC1,PC2,RUL,RUL_class
1.7324303551865297,0.7570573688956829,1125.0,Healthy
2.430105904839343,0.9157925371083232,1152.0,Healthy
1.185395262482808,0.6758280419411902,1177.0,Healthy
1.4466530714630046,0.6923457167658216,1204.0,Healthy
1.4495965515363896,0.4702607163797298,1232.0,Healthy
1.3359085692889479,0.5857846930365581,1069.0,Healthy
2.430097726019448,0.9157496196879126,162.0,Low
1.3898032819579813,-0.14386846696929667,1812.0,Healthy
1.596155898313635,0.6376665726454512,27.0,Critical
2.29580325958869,1.028120789021962,4622.0,Healthy
1.2923535839650886,0.5935750230286668,4649.0,Healthy
1.1500868414034089,0.6895719977098765,4707.0,Healthy
1.4100987625226897,-0.12567823182908347,4735.0,Healthy
1.916820546244493,0.7619784943756115,4769.0,Healthy
1.4717466156458194,0.3081502805507563,4986.0,Healthy
1.196503010743887,0.9192531328323045,4594.0,Healthy
1.4862731917081762,0.02234138791190555,5020.0,Healthy
1.8663914333484366,0.03547202569961675,5085.0,Healthy
1.6480385984917134,-0.16752172281712827,5115.0,Healthy
1.9337139515277966,-0.028868879757536766,5146.0,Healthy
2.362504175494965,0.05920739966602427,5180.0,Healthy
1.389803447856965,-0.1438675964333857,5211.0,Healthy
2.95441091535173,0.3193255355006404,5241.0,Healthy
1.7805324824438469,0.1008442630393596,5051.0,Healthy
2.9544108158123397,0.31932501317909384,1846.0,Healthy
0.5515314003099862,0.42561766949403673,4567.0,Healthy
1.6274210595861898,0.6986791745445594,4514.0,Healthy
1.1543273155538734,0.5704014672346217,0.0,Critical
1.1543320934446033,0.5704265386688575,4174.0,Healthy
1.59616062643467,0.6376913829189137,4198.0,Healthy
1.9617567721681932,1.0244825953933239,4226.0,Healthy
1.3359051185900872,0.5857665858896101,4250.0,Healthy
1.3750707239315396,0.7140535532065083,4278.0,Healthy
-0.1956990198065861,-0.11369354958703944,4542.0,Healthy
1.7324268547179742,0.7570390005879616,4303.0,Healthy
1.1853918117839475,0.6758099347942421,4358.0,Healthy
1.446649570994449,0.6923273484581003,4382.0,Healthy
1.449593051067834,0.4702423480720085,4410.0,Healthy
1.7973966680704416,0.3234756192359939,4435.0,Healthy
2.2542385334149704,0.7744969033075474,4462.0,Healthy
1.7957817850975897,0.6517289844928787,4487.0,Healthy
2.4301024043707877,0.9157741688006018,4330.0,Healthy
1.1853871334326078,0.6757853856815529,190.0,Low
1.3359004402387475,0.5857420367769208,82.0,Critical
1.449683864171499,0.4707188794296708,5998.0,Healthy
2.3626422863988767,0.05993212081190273,0.0,Critical
2.954493068528447,0.31975662488375034,9617.0,Healthy
1.3898855346740886,-0.14343685526464017,9583.0,Healthy
2.362586278901987,0.059638227888360915,9553.0,Healthy
1.9337960549348185,-0.028438051535200123,9519.0,Healthy
1.6481206521290404,-0.16709115575556496,9485.0,Healthy
2.9542814311949694,0.31864608222213214,356.0,Low
1.86647342062617,0.03590224454681571,9451.0,Healthy
1.4863551955758079,0.022771693812695566,9387.0,Healthy
1.4718286195134513,0.30858058645154635,9353.0,Healthy
1.916905586063526,0.7624247310835722,9319.0,Healthy
1.4101838521114178,-0.12523173396034945,9288.0,Healthy
1.4466449424128043,0.6923030605061843,217.0,Low
