,PCA1,PCA2,tSNE1,tSNE2,UMAP1,UMAP2
177,0.6497124678344197,-2.0833849577611767,16.2952,3.0799918,4.2471037,7.4347672
178,0.02989548712445786,-2.919721582562651,14.036612,-27.106174,7.1631293,-2.154484
179,0.9896041729179269,-1.001727818573843,18.636387,5.0550303,4.191396,7.426196
180,-2.5822613163171244,2.2606144400164543,-58.53242,-17.92941,3.554975,-1.2033799
181,-3.083802215198052,1.8479680103284046,-54.909264,-21.020601,3.8143947,-0.9747721
182,-2.524052897982426,2.3028959176862376,-59.209637,-17.527983,3.5385137,-1.2358034
183,-3.9759476874226745,3.1843514779247717,-56.33457,-20.568127,3.7439702,-0.7890924
184,-4.182386419281498,0.4861445730503357,-51.870888,-18.392866,3.1582868,-0.29390666
185,-3.3278342539960124,3.144930923952501,-59.209637,-17.527983,3.5385137,-1.2358034
186,-2.4939888309549363,2.210521617190011,-59.11687,-17.201508,3.5176551,-1.2269223
187,-2.7300799914358147,2.2179267968949805,-60.063354,-16.131496,3.46763,-1.2301104
188,-2.6082573741555253,-2.0081549289468144,-25.277573,16.900925,4.019848,3.9969375
189,-2.605148486064765,-2.0077719486976604,-25.277573,16.900925,4.019848,3.9969375
190,-2.7267371396988564,2.217487196084117,-60.063354,-16.131496,3.46763,-1.2301104
191,0.9927131401842022,-1.0013451166939138,18.636387,5.0550303,4.191396,7.426196
192,-2.53027138674358,2.3021324625109547,-59.209637,-17.527983,3.5385137,-1.2358034
193,-3.9821661761838287,3.183588022749489,-55.86814,-19.537415,3.5599484,-0.8230778
194,-2.594698293839433,2.2590875296658885,-59.209644,-17.527983,3.5385137,-1.2358034
195,-3.0962391927203607,1.846441099977839,-54.909264,-21.020601,3.8143947,-0.9747721
196,-2.5364898755047345,2.301369007335672,-59.209637,-17.527983,3.5385137,-1.2358034
197,-3.988384744120498,3.1828248459434314,-55.867786,-19.538239,3.5532775,-0.8201873
198,-4.194823555154835,0.48461821943822,-51.870888,-18.392866,3.1582866,-0.29390666
199,-3.3402713898693506,3.1434045703403855,-59.74589,-17.432018,3.516452,-1.2359912
200,-2.506426046003789,2.2089955419471203,-59.129955,-17.200369,3.5063362,-1.2212044
201,-2.742517312052021,2.216401092811057,-60.47889,-16.286728,3.4558003,-1.2241336
202,-2.863708283895609,3.105797434925463,-60.280598,-17.33591,3.4956365,-1.2353122
203,-2.711502267023777,1.5716793761819856,-55.06316,-18.61456,3.657189,-1.2620144
204,-3.4198538386053188,2.55686909128211,-60.70445,-17.226524,3.472485,-1.2238367
205,-0.48379191078456757,-1.3709290909005036,10.079075,-38.027626,7.279847,-1.4195969
206,0.18145348061990474,-2.653322396489251,10.0042095,-33.636726,7.0397553,-1.718983
207,0.013534401515004593,-1.658266468856994,11.487341,-39.32463,7.1298666,-1.2138782
208,-0.3155561813442413,-2.208086108928637,14.3370495,-38.295506,7.1229963,-1.4952891
209,-0.2231052728854105,-1.4412971912112253,11.904613,-42.194923,7.3148537,-1.24593
210,-0.06418201507090789,-2.467209111802655,14.366098,-30.54509,7.060637,-2.0851064
211,-0.5348413290857635,-1.8623133558745033,9.943832,-39.24742,7.307026,-1.3685472
212,0.09160813833121971,-1.7532948803935817,12.129119,-41.96349,7.435884,-1.3382696
213,-0.37971991869573196,-2.939270484771442,15.525827,-29.59721,7.175874,-2.183869
214,-0.4508622766538818,-1.1378651769976509,5.972312,-41.57652,7.5950823,-0.9671148
215,0.03300442799889482,-2.9193387878929804,15.541313,-28.174244,7.2545166,-2.2066712
216,0.6271017513666537,-1.1609233792049305,16.793638,3.6865573,4.191588,7.4553223
217,-3.0804590995427117,1.8475274816201244,-54.909264,-21.020601,3.8143947,-0.9747721
218,-2.5207097823270854,2.302455388977957,-59.209637,-17.527983,3.5385137,-1.2358034
219,-3.0900207039592065,1.8472045551531218,-54.909264,-21.020601,3.8143947,-0.9747721
220,-2.5884798050782782,2.2598509848411714,-59.209637,-17.527983,3.5385137,-1.2358034
221,0.6746114423417091,-2.0804191017351603,16.176907,2.5409737,4.234486,7.451417
222,-2.5833584788237505,-2.0051887945515734,-25.277573,16.900925,4.019848,3.9969375
223,-2.5729078115453294,2.261669013596625,-58.53242,-17.92941,3.554975,-1.2033799
224,-3.0744487104262577,1.8490225839085754,-54.909264,-21.020601,3.8143947,-0.9747721
225,-2.5146994723861464,2.3039507696356334,-56.551098,-18.482357,3.6398723,-1.2497367
226,-3.9665943410019096,3.185406608243393,-56.33457,-20.568127,3.7439702,-0.7890924
227,-4.173033178428086,0.4872000745279234,-53.20562,-18.90413,3.2616646,-0.47930866
228,-3.318480986750762,3.1459863326403474,-59.19419,-17.756426,3.5351691,-1.2297442
229,-2.4846357220607156,2.2115775826163073,-59.11687,-17.201508,3.5176551,-1.2269223
230,-2.720726988108947,2.2189831334802435,-60.063347,-16.131496,3.46763,-1.2301104
231,-2.8419179599525353,3.1083794755946497,-60.280598,-17.33591,3.4956365,-1.2353122
232,-2.689712048648057,1.574261788010139,-49.0297,-22.015682,3.9645588,-1.3134577
233,-3.3980635146622453,2.559451131951297,-60.200996,-16.781445,3.4806492,-1.2317939
234,-0.4620015868414943,-1.3683470502313169,6.0001,-39.32945,7.616365,-1.2111696
235,0.20324372538746327,-2.6507400774508394,8.574161,-33.98167,6.910842,-1.6856617
236,-3.9726046509428485,3.1839112275857167,-56.33457,-20.568127,3.7439702,-0.7890924
237,0.035324646282562995,-1.655684149818582,11.612185,-39.60961,7.178749,-1.3433164
238,-0.20131502811785196,-1.4387148721728136,11.728724,-42.73449,7.431067,-1.2208011
239,-0.04239182308702591,-2.46462660718476,11.113234,-33.896606,7.355344,-1.7387807
240,-0.513051084318205,-1.8597310368360913,10.393845,-39.57542,7.5427947,-1.3901303
241,0.11339838309877821,-1.75071256135517,10.306986,-43.324818,7.586886,-1.2035359
242,-0.3579297531036883,-2.936687887363805,14.756925,-29.337559,7.049989,-2.186771
243,-0.4290721110618381,-1.135282579590014,1.9682045,-42.042225,7.848592,-0.7480979
244,0.05479454080726198,-2.91675600490586,16.50843,-28.256495,7.2696853,-2.2916102
245,-0.523145454114937,-0.5298745938117768,-17.85223,-30.666555,7.552443,2.2262635
246,0.7320400522409507,-0.595746204188879,18.555836,4.2522006,4.174716,7.4302583
247,1.2722532756421792,-1.5447710686297822,16.780504,4.2881002,4.2558455,7.4503355
248,1.0621214924625813,-1.3963601062185784,18.61138,4.8868937,4.2081037,7.434644
249,1.0145031474252164,-0.9987619625478268,18.61138,4.8868937,4.2081037,7.434644
250,0.6488917586076678,-1.1583402250588435,16.456837,3.818348,4.241397,7.4634385
251,-0.2937659629685212,-2.2055036971004833,15.072299,-38.535572,7.142774,-1.5045551
252,-4.179043409193509,0.4857044155010221,-53.20562,-18.90413,3.2616646,-0.47930866
253,-2.5789182006617835,2.260173911308174,-58.53242,-17.92941,3.554975,-1.2033799
254,-2.490645873650625,2.2100816452201806,-59.11687,-17.201508,3.5176551,-1.2269223
255,-3.3244912175161865,3.1444906736134457,-59.194183,-17.756426,3.5351691,-1.2297442
256,1.0403314060460525,-1.3989429819954404,18.61138,4.8868937,4.2081037,7.434644
257,1.2504632684011652,-1.5473542227758692,16.037035,4.3299026,4.2481446,7.458689
258,0.7102500449999366,-0.5983293583349659,18.741894,4.9911065,4.191129,7.423944
259,-0.5449355405314659,-0.5324574695886387,-15.307634,-27.884985,7.3182096,2.161309
