DBSCAN,RUL_class,count
591,Medium,3
592,Healthy,4
592,Medium,3
593,Healthy,6
593,Critical,1
594,Healthy,6
594,Medium,1
595,Healthy,7
595,Low,5
595,Medium,1
596,Healthy,7
596,Low,3
596,Critical,2
596,Medium,1
597,Healthy,108
597,Low,5
597,Critical,4
598,Healthy,7
598,Low,5
598,Medium,1
599,Healthy,21
599,Low,13
599,Medium,5
600,Healthy,7
600,Critical,5
600,Low,1
601,Healthy,14
601,Critical,10
601,Low,2
602,Healthy,12
602,Critical,1
603,Healthy,7
603,Medium,4
603,Low,2
604,Healthy,14
604,Low,7
604,Medium,5
605,Healthy,7
605,Low,5
605,Medium,1
606,Healthy,12
606,Low,1
607,Healthy,7
607,Critical,5
607,Low,1
608,Healthy,7
608,Critical,5
608,Low,1
609,Healthy,7
609,Critical,5
609,Low,1
610,Healthy,7
610,Low,3
610,Critical,2
610,Medium,1
611,Healthy,12
611,Critical,1
612,Healthy,7
613,Healthy,7
614,Healthy,7
615,Healthy,7
616,Healthy,7
617,Healthy,35
618,Healthy,7
619,Healthy,7
620,Healthy,7
621,Healthy,7
622,Healthy,7
623,Healthy,7
624,Healthy,7
625,Healthy,7
626,Healthy,12
626,Critical,1
627,Healthy,13
628,Healthy,12
628,Low,1
629,Healthy,12
629,Critical,1
630,Healthy,26
631,Healthy,13
632,Healthy,24
632,Critical,2
633,Healthy,39
634,Healthy,13
635,Healthy,13
636,Healthy,12
636,Low,1
637,Healthy,36
637,Critical,2
637,Low,1
638,Healthy,63
639,Healthy,14
640,Healthy,14
641,Healthy,7
642,Healthy,14
643,Healthy,7
644,Healthy,21
645,Healthy,7
646,Healthy,7
647,Healthy,21
648,Healthy,7
649,Healthy,7
650,Healthy,7
651,Healthy,7
652,Healthy,7
653,Healthy,7
654,Healthy,7
655,Healthy,7
656,Healthy,35
657,Healthy,70
658,Healthy,7
659,Healthy,7
660,Healthy,7
661,Healthy,7
662,Healthy,7
663,Healthy,7
664,Healthy,7
665,Healthy,14
666,Healthy,7
667,Healthy,21
668,Healthy,7
669,Healthy,7
670,Healthy,7
671,Healthy,7
672,Healthy,14
672,Medium,2
673,Healthy,6
674,Healthy,8
675,Healthy,6
675,Critical,2
676,Healthy,40
677,Healthy,7
677,Medium,1
678,Healthy,7
678,Medium,1
679,Healthy,7
679,Medium,1
680,Healthy,8
681,Healthy,14
681,Medium,2
682,Healthy,8
683,Healthy,7
683,Medium,1
684,Healthy,8
685,Healthy,8
686,Healthy,6
686,Critical,2
687,Healthy,8
688,Healthy,8
689,Healthy,22
689,Critical,2
690,Healthy,7
690,Medium,1
691,Healthy,8
692,Healthy,48
692,Medium,13
692,Low,11
693,Healthy,24
693,Critical,6
693,Low,6
694,Healthy,6
694,Low,3
695,Healthy,12
695,Critical,6
696,Healthy,9
697,Healthy,9
698,Healthy,9
699,Healthy,6
699,Low,3
700,Healthy,6
700,Low,3
701,Healthy,9
702,Healthy,9
703,Healthy,6
703,Medium,3
704,Healthy,5
704,Critical,3
704,Medium,1
705,Healthy,9
706,Healthy,9
707,Healthy,9
708,Healthy,6
708,Critical,3
709,Healthy,6
709,Medium,3
710,Healthy,117
711,Healthy,13
712,Healthy,52
713,Healthy,13
714,Healthy,13
715,Healthy,13
716,Healthy,13
717,Healthy,20
717,Critical,6
718,Healthy,10
718,Critical,3
719,Healthy,13
720,Healthy,10
720,Critical,3
721,Healthy,13
722,Healthy,13
723,Healthy,13
724,Healthy,22
725,Healthy,7
726,Healthy,7
727,Healthy,13
727,Critical,1
728,Healthy,7
729,Healthy,5
729,Critical,2
730,Healthy,14
731,Healthy,14
732,Healthy,7
733,Healthy,14
734,Healthy,21
735,Healthy,7
736,Healthy,7
737,Healthy,7
738,Healthy,7
739,Healthy,7
740,Healthy,7
741,Healthy,7
742,Healthy,7
743,Healthy,28
744,Healthy,7
745,Healthy,7
746,Healthy,7
747,Healthy,7
748,Healthy,32
749,Healthy,8
750,Healthy,66
751,Healthy,8
752,Healthy,8
753,Healthy,8
754,Healthy,8
755,Healthy,24
756,Healthy,16
757,Healthy,8
758,Healthy,8
759,Healthy,8
760,Healthy,8
761,Healthy,8
762,Healthy,32
763,Healthy,8
764,Healthy,8
765,Healthy,8
766,Healthy,8
767,Healthy,8
768,Healthy,16
769,Healthy,5
769,Low,2
770,Healthy,5
770,Low,2
771,Healthy,10
771,Low,4
772,Healthy,15
772,Low,6
773,Healthy,35
773,Critical,11
773,Low,3
774,Healthy,5
774,Low,1
774,Medium,1
775,Healthy,5
775,Medium,1
775,Low,1
776,Healthy,5
776,Medium,2
777,Healthy,5
777,Medium,2
778,Healthy,5
778,Medium,2
779,Healthy,5
779,Medium,2
780,Healthy,10
780,Medium,4
781,Healthy,30
781,Medium,12
782,Healthy,5
782,Medium,2
783,Healthy,5
783,Low,1
783,Medium,1
784,Healthy,6
784,Medium,1
785,Healthy,5
785,Critical,2
786,Healthy,6
786,Critical,3
787,Healthy,8
787,Critical,1
788,Healthy,9
789,Healthy,18
790,Healthy,9
791,Healthy,9
792,Healthy,9
793,Healthy,8
793,Critical,1
794,Healthy,9
795,Healthy,6
795,Critical,3
796,Healthy,18
797,Healthy,9
798,Healthy,9
799,Healthy,9
800,Healthy,9
801,Healthy,9
802,Healthy,9
803,Healthy,9
804,Healthy,119
805,Healthy,5
806,Healthy,72
807,Healthy,5
808,Healthy,20
809,Healthy,5
