RUL_class,time_temperature_measurement1,count
Low,17:15:00,23
Low,2:00:00,23
Low,7:00:00,23
Low,17:40:00,23
Low,16:40:00,22
Low,7:58:00,21
Low,15:25:00,21
Low,21:22:00,20
Low,20:25:00,20
Low,8:00:00,19
Low,2:40:00,18
Low,4:55:00,18
Low,22:30:00,18
Low,19:20:00,18
Low,1:45:00,18
Low,5:00:00,18
Low,3:10:00,18
Low,23:40:00,18
Low,3:40:00,18
Low,12:00:00,18
Low,12:10:00,18
Low,23:00:00,17
Low,22:17:00,17
Low,4:51:00,17
Low,21:30:00,17
Low,18:00:00,17
Low,18:10:00,17
Low,2:55:00,17
Low,1:16:00,16
Low,9:32:00,16
Low,3:55:00,16
Low,22:00:00,16
Low,14:05:00,16
Low,1:25:00,16
Low,0:35:00,16
Low,20:05:00,16
Low,16:50:00,16
Low,18:15:00,16
Low,22:05:00,16
Low,6:20:00,16
Low,20:23:00,16
Low,8:20:00,16
Low,3:30:00,15
Low,17:26:00,15
Low,18:45:00,15
Low,22:27:00,15
Low,1:58:00,15
Low,20:10:00,15
Low,15:10:00,15
Low,4:40:00,15
Low,20:50:00,14
Low,22:55:00,14
Low,9:00:00,14
Low,12:54:00,14
Low,2:15:00,14
Low,0:00:00,14
Low,1:40:00,14
Low,5:40:00,14
Low,11:45:00,14
Low,0:56:00,14
Low,2:45:00,14
Low,14:35:00,14
Low,23:35:00,14
Low,12:30:00,14
Low,10:30:00,14
Low,19:54:00,14
Low,20:38:00,14
Low,13:40:00,14
Low,16:45:00,14
Low,5:55:00,13
Low,9:35:00,13
Low,10:25:00,13
Low,18:35:00,13
Low,21:53:00,13
Low,7:05:00,13
Low,2:18:00,13
Low,19:55:00,13
Low,13:10:00,13
Low,17:30:00,13
Low,8:43:00,13
Low,13:21:00,13
Low,19:10:00,13
Low,7:20:00,13
Low,4:20:00,13
Low,7:12:00,13
Low,15:55:00,13
Low,6:30:00,13
Low,19:39:00,13
Low,3:00:00,13
Low,6:05:00,13
Low,12:55:00,13
Low,7:45:00,13
Low,1:44:00,12
Low,3:19:00,12
Low,22:41:00,12
Low,20:15:00,12
Low,4:04:00,12
Low,21:09:00,12
Low,10:31:00,12
Low,16:19:00,12
Low,2:25:00,12
Low,17:07:00,12
Low,20:40:00,12
Low,22:45:00,12
Low,0:10:00,12
Low,3:22:00,12
Low,0:11:00,12
Low,23:38:00,12
Low,22:49:00,12
Low,14:40:00,12
Low,9:22:00,12
Low,19:30:00,12
Low,10:19:00,12
Low,7:35:00,12
Low,6:37:00,11
Low,12:36:00,11
Low,18:08:00,11
Low,19:38:00,11
Low,0:55:00,11
Low,3:24:00,11
Low,0:48:00,11
Low,2:30:00,11
Low,23:45:00,11
Low,10:00:00,11
Low,0:15:00,11
Low,10:15:00,11
Low,14:55:00,11
Low,16:30:00,11
Low,8:45:00,11
Low,13:25:00,11
Low,1:32:00,11
Low,0:41:00,11
