IsolationForest,LOF,OneClassSVM,time_temperature_measurement2,count
1,1,1,15:35:00,19
1,1,1,7:12:00,19
1,1,1,5:27:00,19
1,1,1,11:20:00,19
1,1,1,12:40:00,19
1,1,1,14:43:00,19
1,1,1,19:27:00,19
1,1,1,8:43:00,19
1,1,1,17:07:00,19
1,1,1,1:00:00,19
1,1,1,11:12:00,19
1,1,1,8:55:00,19
1,1,1,21:26:00,19
1,1,1,11:55:00,19
1,1,1,9:16:00,19
1,1,1,15:56:00,19
1,1,1,4:04:00,19
1,1,1,23:45:00,19
1,1,1,22:41:00,19
1,1,1,8:50:00,19
1,1,1,8:31:00,19
1,1,1,13:41:00,19
1,1,1,0:48:00,19
1,1,1,10:31:00,19
1,1,1,22:20:00,18
1,1,1,14:54:00,18
1,1,1,7:03:00,18
1,1,1,23:18:00,18
1,1,1,20:42:00,18
1,1,1,7:50:00,18
1,1,1,3:42:00,18
1,1,1,19:15:00,18
1,1,1,22:50:00,18
1,1,1,0:15:00,18
1,1,1,0:03:00,18
1,1,1,14:41:00,18
1,1,1,3:14:00,18
1,1,1,10:43:00,18
1,1,1,8:27:00,18
1,1,1,21:13:00,18
1,1,1,12:50:00,18
1,1,1,1:44:00,18
1,1,1,0:56:00,18
1,1,1,11:04:00,18
1,1,1,10:01:00,18
1,1,1,9:04:00,18
1,1,1,1:04:00,18
1,1,1,0:20:00,18
1,1,1,22:34:00,17
1,1,1,19:35:00,17
1,1,1,5:20:00,17
1,1,1,2:05:00,17
1,1,1,13:51:00,17
1,1,1,18:07:00,17
1,1,1,21:49:00,17
1,1,1,11:15:00,17
1,1,1,18:49:00,17
1,1,1,10:46:00,17
1,1,1,4:28:00,17
1,1,1,6:22:00,17
1,1,1,0:02:00,17
1,1,1,16:00:00,17
1,1,1,18:22:00,17
1,1,1,19:02:00,17
1,1,1,10:04:00,17
1,1,1,3:15:00,17
1,1,1,23:20:00,16
1,1,1,0:07:00,16
1,1,1,17:29:00,16
1,1,1,6:55:00,16
1,1,1,14:18:00,16
