KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,time_temperature_measurement2,count
0,1,313,0,-1,1,-1,6:06:00,12
0,1,313,0,-1,1,1,6:06:00,1
0,1,314,0,1,1,-1,10:31:00,9
0,1,314,0,1,1,1,10:31:00,4
0,1,315,0,1,1,1,9:38:00,10
0,1,316,0,1,1,1,8:49:00,10
0,1,348,0,1,1,1,23:56:00,9
0,1,348,0,1,1,1,23:00:00,9
0,1,348,0,1,1,1,3:08:00,6
0,1,348,0,1,1,1,4:37:00,6
0,1,348,0,1,1,1,3:53:00,6
0,1,348,0,1,1,1,2:22:00,6
0,1,348,0,1,1,1,5:19:00,6
0,1,348,0,1,1,1,1:34:00,6
0,1,348,0,1,1,1,6:04:00,6
0,1,348,0,1,1,1,0:46:00,6
0,1,348,0,1,1,1,6:46:00,6
0,1,349,0,1,-1,1,22:05:00,9
0,1,353,0,1,-1,1,3:55:00,5
0,1,353,0,1,1,1,3:55:00,4
0,1,355,0,1,-1,1,1:40:00,5
0,1,355,0,1,1,1,1:40:00,4
0,1,526,0,1,-1,-1,14:52:00,7
0,1,556,0,-1,1,1,21:10:00,5
0,1,556,0,-1,1,1,20:25:00,2
0,1,556,0,1,1,1,20:25:00,4
0,1,556,0,1,1,1,21:10:00,1
0,1,557,0,-1,1,-1,21:55:00,6
0,1,558,0,-1,1,-1,23:30:00,5
0,1,558,0,1,1,-1,23:30:00,1
0,1,559,0,-1,1,1,18:55:00,1
0,1,559,0,1,1,1,18:55:00,5
0,1,560,0,1,-1,1,12:34:00,6
0,1,561,0,-1,1,1,11:06:00,1
0,1,561,0,1,1,1,11:06:00,5
0,1,562,0,-1,1,1,22:45:00,6
0,1,563,0,1,-1,1,19:40:00,6
0,1,564,0,1,-1,1,16:07:00,2
0,1,564,0,1,1,1,16:07:00,4
0,1,565,0,1,1,1,15:30:00,6
1,0,-1,1,1,-1,-1,21:07:00,6
1,0,-1,1,1,-1,-1,12:20:00,3
1,0,-1,1,1,-1,-1,4:21:00,1
1,0,-1,1,1,-1,-1,3:38:00,1
1,0,-1,1,1,-1,-1,17:08:00,1
1,0,-1,1,1,-1,-1,2:50:00,1
1,0,-1,1,1,-1,-1,22:00:00,1
1,0,-1,1,1,-1,-1,13:25:00,1
1,0,-1,1,1,-1,-1,6:50:00,1
1,0,-1,1,1,-1,1,15:44:00,4
1,0,-1,1,1,-1,1,10:35:00,4
1,0,-1,1,1,-1,1,16:45:00,4
1,0,-1,1,1,-1,1,10:43:00,3
1,0,-1,1,1,-1,1,9:04:00,2
1,0,-1,1,1,-1,1,18:32:00,1
