KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,sleeve,count
0,1,558,0,-1,1,-1,30014824,1
0,1,558,0,-1,1,-1,30014825,1
0,1,558,0,-1,1,-1,30014812,1
0,1,558,0,1,1,-1,30014814,1
0,1,559,0,-1,1,1,30014812,1
0,1,559,0,1,1,1,30014825,1
0,1,559,0,1,1,1,30014819,1
0,1,559,0,1,1,1,30014811,1
0,1,559,0,1,1,1,30014824,1
0,1,559,0,1,1,1,30014814,1
0,1,560,0,1,-1,1,30014825,1
0,1,560,0,1,-1,1,30014812,1
0,1,560,0,1,-1,1,30014819,1
0,1,560,0,1,-1,1,30014811,1
0,1,560,0,1,-1,1,30014824,1
0,1,560,0,1,-1,1,30014814,1
0,1,561,0,-1,1,1,30014824,1
0,1,561,0,1,1,1,30014825,1
0,1,561,0,1,1,1,30014812,1
0,1,561,0,1,1,1,30014819,1
0,1,561,0,1,1,1,30014811,1
0,1,561,0,1,1,1,30014814,1
0,1,562,0,-1,1,1,30014814,1
0,1,562,0,-1,1,1,30014811,1
0,1,562,0,-1,1,1,30014819,1
0,1,562,0,-1,1,1,30014824,1
0,1,562,0,-1,1,1,30014825,1
0,1,562,0,-1,1,1,30014812,1
0,1,563,0,1,-1,1,30014811,1
0,1,563,0,1,-1,1,30014819,1
0,1,563,0,1,-1,1,30014824,1
0,1,563,0,1,-1,1,30014825,1
0,1,563,0,1,-1,1,30014814,1
0,1,563,0,1,-1,1,30014812,1
0,1,564,0,1,-1,1,30014819,1
0,1,564,0,1,-1,1,30014824,1
0,1,564,0,1,1,1,30014811,1
0,1,564,0,1,1,1,30014814,1
0,1,564,0,1,1,1,30014825,1
0,1,564,0,1,1,1,30014812,1
0,1,565,0,1,1,1,30014819,1
0,1,565,0,1,1,1,30014811,1
0,1,565,0,1,1,1,30014814,1
0,1,565,0,1,1,1,30014824,1
0,1,565,0,1,1,1,30014825,1
0,1,565,0,1,1,1,30014812,1
1,0,-1,1,1,-1,-1,30014085,5
1,0,-1,1,1,-1,-1,30012913,2
1,0,-1,1,1,-1,-1,30012903,2
1,0,-1,1,1,-1,-1,30012909,2
1,0,-1,1,1,-1,-1,30014186,2
1,0,-1,1,1,-1,-1,30012912,1
1,0,-1,1,1,-1,-1,30012905,1
1,0,-1,1,1,-1,-1,30012904,1
1,0,-1,1,1,-1,1,30014812,4
1,0,-1,1,1,-1,1,30014085,2
1,0,-1,1,1,-1,1,30014186,2
1,0,-1,1,1,-1,1,30014818,2
1,0,-1,1,1,-1,1,30014135,2
1,0,-1,1,1,-1,1,30013353,1
1,0,-1,1,1,-1,1,30012910,1
1,0,-1,1,1,-1,1,30012909,1
1,0,-1,1,1,-1,1,30012903,1
1,0,-1,1,1,-1,1,30014825,1
1,0,-1,1,1,-1,1,30014819,1
1,0,-1,1,1,-1,1,30014806,1
1,0,-1,1,1,-1,1,530314 К,1
1,0,-1,1,1,-1,1,30014139,1
1,0,-1,1,1,1,-1,530314 К,2
1,0,-1,1,1,1,-1,30014085,1
1,0,-1,1,1,1,-1,30014818,1
1,0,-1,1,1,1,-1,30014814,1
1,0,-1,1,1,1,-1,30014824,1
1,0,-1,1,1,1,1,30014812,21
1,0,-1,1,1,1,1,30014818,17
1,0,-1,1,1,1,1,30014085,15
1,0,-1,1,1,1,1,30012909,13
1,0,-1,1,1,1,1,30012905,12
1,0,-1,1,1,1,1,530314 К,12
1,0,-1,1,1,1,1,30012913,11
1,0,-1,1,1,1,1,30014186,11
1,0,-1,1,1,1,1,30014135,9
1,0,-1,1,1,1,1,30012904,8
1,0,-1,1,1,1,1,30012903,8
1,0,-1,1,1,1,1,30012912,8
1,0,-1,1,1,1,1,30014819,7
1,0,-1,1,1,1,1,30014806,7
1,0,-1,1,1,1,1,30014825,6
1,0,-1,1,1,1,1,30014814,6
1,0,-1,1,1,1,1,30011717,5
1,0,-1,1,1,1,1,30013349,4
1,0,-1,1,1,1,1,30014079,4
1,0,-1,1,1,1,1,30014080,4
1,0,-1,1,1,1,1,30013353,3
1,0,-1,1,1,1,1,30014824,3
1,0,-1,1,1,1,1,30014139,3
1,0,-1,1,1,1,1,30012910,2
1,0,-1,1,1,1,1,30013351,1
1,0,-1,1,1,1,1,30013347,1
1,0,-1,1,1,1,1,30012907,1
1,0,-1,1,1,1,1,30014184,1
1,0,-1,1,1,1,1,30014187,1
1,0,-1,1,1,1,1,30014185,1
1,0,-1,1,1,1,1,30014183,1
1,0,-1,2,-1,-1,-1,30012261,2
1,0,-1,2,-1,-1,-1,30013350,2
1,0,-1,2,-1,-1,-1,30012913,1
1,0,-1,2,-1,-1,-1,30012903,1
1,0,-1,2,-1,-1,-1,30012909,1
1,0,-1,2,-1,-1,-1,30014818,1
1,0,-1,2,-1,-1,-1,530314 К,1
1,0,-1,2,-1,-1,-1,30014135,1
1,0,-1,2,-1,-1,-1,30014812,1
1,0,-1,2,1,-1,-1,30014818,3
1,0,-1,2,1,-1,-1,530314 К,2
1,0,-1,2,1,-1,-1,30012913,1
1,0,-1,2,1,-1,-1,30014085,1
1,0,-1,2,1,-1,-1,30014143,1
1,0,-1,2,1,-1,-1,30013876,1
1,0,-1,2,1,-1,-1,30014812,1
1,0,-1,2,1,-1,-1,30014135,1
1,0,-1,2,1,-1,1,30012903,2
1,0,-1,2,1,-1,1,30012909,2
1,0,-1,2,1,-1,1,30014186,2
1,0,-1,2,1,-1,1,30014812,2
1,0,-1,2,1,-1,1,30013347,1
1,0,-1,2,1,-1,1,30013351,1
1,0,-1,2,1,-1,1,30013349,1
1,0,-1,2,1,-1,1,30013353,1
1,0,-1,2,1,-1,1,30014085,1
1,0,-1,2,1,-1,1,30014189,1
1,0,-1,2,1,-1,1,30014814,1
1,0,-1,2,1,-1,1,30014139,1
1,0,-1,2,1,-1,1,530314 К,1
1,0,-1,2,1,-1,1,30014818,1
1,0,-1,2,1,1,-1,30014812,2
1,0,-1,2,1,1,-1,30014135,2
1,0,-1,2,1,1,-1,30012913,1
1,0,-1,2,1,1,-1,30012905,1
1,0,-1,2,1,1,-1,30014080,1
1,0,-1,2,1,1,-1,30012909,1
1,0,-1,2,1,1,-1,30011717,1
1,0,-1,2,1,1,-1,30014818,1
1,0,-1,2,1,1,-1,530314 К,1
1,0,-1,2,1,1,1,30012913,6
